EP1  | Leo： Let’s see what you’re hiding in the dark, my Ice Queen. // （让我看看你在黑夜里藏着什么秘密，我的冰山女王。）
EP2  | △黑暗中，戴着黑色皮手套的手猛地探出，一把死死勾住Leo的脖颈，Chloe的另一只手一把拽住Leo的领带！ // △巨大的力量拉扯下，Leo毫无防备地被直接拽进黑暗的房间里。
EP3  | △画面在面具即将脱落的瞬间定格。 // △【卡点黑屏】
EP4  | 人物：Leo // △大门打开，穿着得体西装的Leo走了进来，脸上挂着自信的笑容，每一根头发都精心打理过，领带夹上镶嵌的钻石在灯光下闪烁。
EP5  | △Chloe从枕头下扯出一条领带，精准地蒙在了Leo的眼睛上。 // △【卡点黑屏】
EP6  | Leo（VO，歇斯底里）：Fuck！What the hell does this woman want?! // （妈的！这个该死的女人到底要什么？！）
EP7  | Leo（嘶吼）：No! It's not my fault! It's hers! I'll make her feel this pain too! // （不！不是我的错！都怪她！我要让她也感受这种痛苦！）
EP8  | 【Ready：第99次】 // △Leo突然愣住。
EP9  | Leo（VO，震惊）：She—— why does she remember my name?! // （她——为什么记得我的名字？！）
EP10 | △Leo先是愣住，随后转为狂喜。 // Leo（振奋）：5%！这是第一次，我没有靠作弊得到的！
EP11 | △门被推开，戴着面具的Leo走了进来，穿着那件绣着名字的衬衫。 // Leo：又见面了，女王陛下。
EP12 | △【特写】Leo咬住皮质内裤的边缘，缓缓往下扯。 // 【卡点黑屏】
EP13 | △突然，Chloe凄厉的惨叫声从里面传了出来。 // △Leo的脚步猛地停住，脸上的笑容瞬间凝固。
EP14 | △‘嘭！’枪声响起，一团血雾炸开在了Chloe的脸上。 // △Chloe瞪大双眼。
EP15 | [CONQUEST PROGRESS: 70%] // △【特写】Leo瞪大了双眼。
EP16 | △Chloe微微抬起头，认真地看着Leo。 // Chloe（认真）：这一次，我不想再做女王了。
EP17 | △敲门声响起。 // 助理（OS）：Leo先生，结果出来了。
EP18 | Chloe（认真）：你愿意和我结婚吗？ // △Leo愣住，嘴巴微张，身体微微颤抖。
EP19 | △现场突然安静了下来，浪漫地音乐响起，Leo激动地扭头看向椰林的方向。 // △【特写】婚纱下，一只穿着白色高跟鞋的脚踩在了地毯上。
EP20 | [QUEST: CONQUER THE ICE QUEEN - CHLOE WINTERS] // [CONQUEST PROGRESS: Reset]
EP21 | △原本一直看着前方的Chloe，脚步突然放慢，微皱着眉头，转身看着那辆车离开。 // △【Chloe主观视角】隔着深色的车窗膜，只能隐约看到Leo紧绷的下颌线。
EP22 | △Chloe把Leo推到了墙上，一只手撑在Leo脸旁的墙壁上，冷笑看着他。 // Chloe：你好像很怕我？
EP23 | △Chloe靠在墙上，胸口微微起伏，她缓缓抬起头，看向敞开的大门，脸上出现极具侵略性的表情。 // Chloe：有意思，你跑不掉的。
EP24 | △Chloe弯下腰，盯着Leo面具后慌乱的眼睛。 // Chloe：在这里，女王说了算。
EP25 | Leo：女王陛下，你的贱狗，乞求你给我奖赏。 // △【Chloe主观镜头】Chloe猛地张开双腿，抓住Leo的头发，粗暴地按向了自己的内裤。
EP26 | Leo（VO）：这绝对不可能！没有人能威胁我！即使是你。 // △Leo举起了右手，拇指和中指交叠在一起。
EP27 | Chloe：再说一遍，味道怎么样？ // Leo：太浓了。
EP28 | Chloe：你的话太多了。 // Leo（痛苦）：嗯——
EP29 | △Chloe从浴缸里抬起一只手，抓在了Leo拿毛巾的手腕上，用力一拽。 // △哗啦——巨大的水花溅起，Leo跌进了浴缸，泡泡飞溅。
EP30 | △电话铃声突然响起，Leo停下动作，猛地抬起头。 // △【特写】Leo双眼通红，表情狰狞。
EP31 | △斜靠在高脚桌的Liam看见Chloe露出欣喜的表情，站直身体整理了一下西装，张开双臂朝着Chloe走了过去。 // Liam：Chloe！
EP32 | △Leo站直身体，露出迷人的笑容，走到美女们面前举起酒杯。 // Leo：晚上好，美丽的女士们。
EP33 | △Leo痛苦地双眼瞪大，捂着下体整个人弓了起来。 // Leo（痛苦）：哦！
EP34 | △【特写】Leo脸上的玩世不恭瞬间消失，瞳孔在一瞬间剧烈骤缩！ // △【闪回定格】第20集Chloe死亡的画面。
EP35 | △Chloe站直身体，搂着Leo朝着门的方向走去，目光冰冷地扫视着面前的人群，经过的地方宾客都面带惊恐地后退，让出道路。 // △Chloe和Leo的身影走出了大门。
EP36 | Chloe：我现在就走，我保证，Leo，你这一生别想再见到我。 // △Chloe用力按下门把手，拉开门一只脚迈了出去。
EP37 | Leo：Chloe，再见，不，再也不见。 // △【特写】Leo的两根手指摩擦，即将打出响指。
EP38 | △【特写】Chloe猛地抬起头，一口狠狠咬在Leo的嘴唇上。 // △Leo闭上眼睛，伸出手死死勒住Chloe的腰肢，疯狂地回应。
EP39 | Chloe：你可真是个贱狗。 // △Leo睁开了眼睛，嘴巴微张喘着粗气，眼神炙热。
EP40 | △Chloe站直身体看向Leo，眼睛微微眯起，露出冷笑。 // Chloe：是时候让那个敢杀我的垃圾付出代价了。
EP41 | Chloe：好戏马上开始了。 // △Leo笑着和Chloe碰杯，一饮而尽。
EP42 | △Chloe整理了一下被扯乱的衣服，优雅地坐在沙发上翘起二郎腿，表情恢复了冷漠。 // Chloe：进来。
EP43 | △Leo歪了歪头，短棍在掌心翻了个花。 // Leo：人渣。
EP44 | Leo（轻笑）：再来一次。 // △【特写】‘啪’，Leo打下了响指。
EP45 | △Chloe抓起Leo的手放在自己的胸前。 // Chloe（轻声）：该好好庆祝一下我们的胜利了。
EP46 | △【特写】裤子顺着Leo的小腿滑落在地上。 // △Chloe站起身，跪坐在Leo身上，缓缓地坐了下去。
EP47 | △Leo用力地搂住Chloe，轻轻地笑了起来。 // Leo（轻笑）：夫人。
EP48 | Leo（哽咽）：我也愿意！ // △现场的宾客们鼓起了掌，掌声经久不息。
EP49 | △Chloe优雅而缓慢地走到了床边坐下，抓起Leo枯槁的手，贴在自己的脸上。 // △【特写】Chloe的双眼被泪水充满。
EP50 | △【特写】“啪！” Chloe打出了响指。 // 【全剧终】
